track_id,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
6JYfqwegSFxDHvT77lIzee,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,This Is Me: Feel Again ID #001 (Mixed),31,ID,"This Is Me: Feel Again (Live from the Ziggo Dome - Amsterdam, The Netherlands) [Highlights]",https://i.scdn.co/image/ab67616d0000b2735b055b4e3e37ab38b4c45ed6,['trance'],33,0.455,0.932,5.0,-12.066,0.0,0.0408,0.00117,0.844,0.197,0.304,129.95,276722.0,4.0,trance
06fUniAO3k9HrkNDCMkUsD,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Neurodancer - Original Mix,27,Wippenberg,Neurodancer,https://i.scdn.co/image/ab67616d0000b2734fd125bb35a5ac7c83a788a3,"['progressive house', 'trance']",21,0.655,0.872,8.0,-7.237,1.0,0.0402,0.00853,0.837,0.105,0.118,150.016,486333.0,4.0,trance
1bokCdLRWPmwH2vOclyHF2,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,In Silence,49,Hel:sløwed,In Silence,https://i.scdn.co/image/ab67616d0000b2731cf647cd17bc7382a8056456,"['trance', 'uplifting trance']",36,0.598,0.839,10.0,-5.613,0.0,0.0374,0.00572,0.9,0.334,0.0371,123.015,199024.0,4.0,trance
05UdxUEAOaDSpjObBoNSVM,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,The Future - Original Short Edit,12,Joop,The Future,https://i.scdn.co/image/ab67616d0000b273efe74e336a9cda816d33dfa2,"['hard trance', 'trance']",10,0.559,0.862,8.0,-6.981,1.0,0.0589,7.91e-05,0.897,0.41,0.164,137.923,170870.0,4.0,trance
2B2vTMJ6vcsHAsbkcSWJRR,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,After Dark,49,LTN,After Dark,https://i.scdn.co/image/ab67616d0000b273814544ba5bc19e06b3da191b,"['progressive house', 'progressive trance', 'progressive trance house', 'trance', 'uplifting trance']",44,0.61,0.827,5.0,-7.78,1.0,0.0341,0.00841,0.764,0.0719,0.267,120.014,234000.0,4.0,trance
7MrgkbteQpwXn7f2rMK5Cu,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,L.O.V.E.,40,Kudus,L.O.V.E.,https://i.scdn.co/image/ab67616d0000b27323f2b1d1e5205b0af2be2994,"['progressive house', 'progressive trance', 'trance']",35,0.488,0.955,5.0,-4.845,0.0,0.0409,0.0324,0.869,0.144,0.104,125.974,241548.0,4.0,trance
5TcZbDRiSUovNop74dMcHG,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Rush Hour - Original Mix,42,Christopher Lawrence,All Or Nothing (Remastered),https://i.scdn.co/image/ab67616d0000b273292e4517a7684fa29564e837,['trance'],26,0.677,0.976,1.0,-7.59,0.0,0.0501,3.45e-05,0.909,0.14,0.608,135.859,444998.0,4.0,trance
2ar1AExas2azDSQbbeuhbL,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Luvstruck - Marco V & Benjamin Rmx,50,Southside Spinners,Luvstruck,https://i.scdn.co/image/ab67616d0000b2738dbad6c23e8317f2ab39ff02,['trance'],37,0.733,0.952,0.0,-8.691,1.0,0.0608,0.00561,0.804,0.321,0.499,138.034,272560.0,4.0,trance
3bORtU89mmxzrRy32Elv02,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Home,42,Coast 2 Coast,Home,https://i.scdn.co/image/ab67616d0000b2733f0746d40ecf96bb5ed09de5,['trance'],30,0.363,0.956,0.0,-4.15,0.0,0.0551,0.00334,0.804,0.112,0.125,134.992,209300.0,4.0,trance
5EczvDMAJtX9T9zu1hgoOv,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,End Of Silence,35,A.r.d.i.,End Of Silence,https://i.scdn.co/image/ab67616d0000b273fe7dff0aaf035ec8724ddba3,"['deep uplifting trance', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']",28,0.442,0.993,0.0,-6.788,0.0,0.0933,0.00312,0.894,0.364,0.0807,138.003,214256.0,4.0,trance
